ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4543,11712,Speed Limit (Asia),Chorus Worldwide Games,2021.0,2021-02-18,Gamechuck,Shoot 'em up,,146.0,Digital only,,nan,0,0,https://game-chuck.com/speed-limit/
4544,11713,Speed Limit (EU),Chorus Worldwide Games,2021.0,2021-02-16,Gamechuck,Shoot 'em up,,146.0,Digital only,,nan,0,0,https://game-chuck.com/speed-limit/
4545,5096,SpeedRunners,tinyBuild,2017.0,2017-07-05,DoubleDutch Games,Platformer,,771.0,Digital only,,nan,0,0,http://www.speedrunners.com/
4546,10755,Spellbreak,Proletariat,2020.0,2020-09-03,Proletariat,"Battle Royale, Third Person Shooter",Cross-Play,4556.8,Digital only,,nan,0,0,https://playspellbreak.com/
4547,-5285,SpellForce III Reforced (PS4),,,,,,,NA,,,nan,0,0,https://spellforce.com/
4548,5483,Spellspire,10tons,2017.0,2017-05-23,10tons,"Puzzle, Role Playing",Cross-Buy,107.0,Digital only,,nan,0,0,http://www.10tons.com/Game/spellspire
4549,12805,Spelunker HD Deluxe,"ININ Games, Strictly Limited Games, Tozai Games",2021.0,2021-08-06,Tozai Games,Action-Adventure,,NA,Physical and Digital,,nan,0,0,
4550,3746,Spelunker World,Square Enix,2015.0,2015-11-11,Tozai Games,Platformer,,4771.84,Digital only,,nan,0,0,http://www.spelunkerworld.com/
4551,5938,Spelunker World (CN),Gamepoch,2017.0,2017-09-15,Tozai Games,Platformer,,11366.4,Digital only,,nan,0,0,https://spelunker.gamepoch.com/?id=5
4552,3130,Spelunker World (JP),Square Enix,2015.0,2015-03-19,Tozai Games,Platformer,,2457.6,Digital only,,nan,0,0,http://www.minspe.jp/
